"","ConfidenceFactor","ServiceLevel","ratio"
"1",0.5,0.319066666666667,0.01
"2",0.55,0.413866666666667,0.01
"3",0.6,0.402533333333333,0.01
"4",0.65,0.4058,0.01
"5",0.7,0.4138,0.01
"6",0.75,0.4144,0.01
"7",0.8,0.412,0.01
"8",0.85,0.523,0.01
"9",0.9,0.52,0.01
"10",0.95,0.518333333333333,0.01
"11",0.99,0.633,0.01
"12",0.5,0.3154,0.02
"13",0.55,0.417866666666667,0.02
"14",0.6,0.411066666666667,0.02
"15",0.65,0.4106,0.02
"16",0.7,0.516533333333333,0.02
"17",0.75,0.5206,0.02
"18",0.8,0.526,0.02
"19",0.85,0.627,0.02
"20",0.9,0.6388,0.02
"21",0.95,0.734666666666667,0.02
"22",0.99,0.858466666666667,0.02
"23",0.5,0.3082,0.03
"24",0.55,0.415933333333333,0.03
"25",0.6,0.411533333333333,0.03
"26",0.65,0.519933333333333,0.03
"27",0.7,0.522466666666667,0.03
"28",0.75,0.645466666666667,0.03
"29",0.8,0.629466666666667,0.03
"30",0.85,0.7344,0.03
"31",0.9,0.803333333333333,0.03
"32",0.95,0.8586,0.03
"33",0.99,0.9044,0.03
"34",0.5,0.304933333333333,0.04
"35",0.55,0.410666666666667,0.04
"36",0.6,0.5298,0.04
"37",0.65,0.513133333333333,0.04
"38",0.7,0.632066666666667,0.04
"39",0.75,0.725533333333333,0.04
"40",0.8,0.7344,0.04
"41",0.85,0.8062,0.04
"42",0.9,0.8518,0.04
"43",0.95,0.9026,0.04
"44",0.99,0.928133333333333,0.04
"45",0.5,0.317333333333333,0.05
"46",0.55,0.411066666666667,0.05
"47",0.6,0.5156,0.05
"48",0.65,0.637266666666667,0.05
"49",0.7,0.6284,0.05
"50",0.75,0.719866666666667,0.05
"51",0.8,0.813066666666667,0.05
"52",0.85,0.861666666666667,0.05
"53",0.9,0.903533333333333,0.05
"54",0.95,0.9232,0.05
"55",0.99,0.9348,0.05
"56",0.5,0.317066666666667,0.06
"57",0.55,0.407466666666667,0.06
"58",0.6,0.5128,0.06
"59",0.65,0.637933333333333,0.06
"60",0.7,0.733133333333333,0.06
"61",0.75,0.801666666666667,0.06
"62",0.8,0.8548,0.06
"63",0.85,0.886266666666667,0.06
"64",0.9,0.915333333333333,0.06
"65",0.95,0.932,0.06
"66",0.99,0.944733333333333,0.06
"67",0.5,0.306066666666667,0.07
"68",0.55,0.411533333333333,0.07
"69",0.6,0.515066666666667,0.07
"70",0.65,0.728466666666667,0.07
"71",0.7,0.808333333333333,0.07
"72",0.75,0.853933333333333,0.07
"73",0.8,0.8892,0.07
"74",0.85,0.9152,0.07
"75",0.9,0.930866666666667,0.07
"76",0.95,0.9354,0.07
"77",0.99,0.951666666666667,0.07
"78",0.5,0.314533333333333,0.08
"79",0.55,0.5104,0.08
"80",0.6,0.6326,0.08
"81",0.65,0.735866666666667,0.08
"82",0.7,0.812533333333333,0.08
"83",0.75,0.892933333333333,0.08
"84",0.8,0.9002,0.08
"85",0.85,0.924,0.08
"86",0.9,0.9324,0.08
"87",0.95,0.941866666666667,0.08
"88",0.99,0.955066666666667,0.08
"89",0.5,0.3084,0.09
"90",0.55,0.524266666666667,0.09
"91",0.6,0.626066666666667,0.09
"92",0.65,0.7386,0.09
"93",0.7,0.8586,0.09
"94",0.75,0.882733333333333,0.09
"95",0.8,0.916533333333333,0.09
"96",0.85,0.932733333333333,0.09
"97",0.9,0.9332,0.09
"98",0.95,0.947933333333333,0.09
"99",0.99,0.956933333333333,0.09
"100",0.5,0.318133333333333,0.1
"101",0.55,0.518733333333333,0.1
"102",0.6,0.630733333333333,0.1
"103",0.65,0.810466666666667,0.1
"104",0.7,0.860066666666667,0.1
"105",0.75,0.905266666666667,0.1
"106",0.8,0.921733333333333,0.1
"107",0.85,0.932266666666667,0.1
"108",0.9,0.943333333333333,0.1
"109",0.95,0.9464,0.1
"110",0.99,0.9628,0.1
