"","cf","ratio"
"1",0.5,0.49704
"2",0.51,0.53698
"3",0.52,0.57677
"4",0.53,0.61071
"5",0.54,0.64646
"6",0.55,0.67787
"7",0.56,0.71334
"8",0.57,0.74635
"9",0.58,0.77677
"10",0.59,0.80104
"11",0.6,0.82623
"12",0.61,0.85232
"13",0.62,0.87371
"14",0.63,0.89282
"15",0.64,0.90952
"16",0.65,0.92547
"17",0.66,0.93755
"18",0.67,0.9502
"19",0.68,0.96057
"20",0.69,0.96845
"21",0.7,0.97505
"22",0.71,0.98029
"23",0.72,0.9856
"24",0.73,0.98849
"25",0.74,0.99187
"26",0.75,0.99463
"27",0.76,0.99579
"28",0.77,0.99707
"29",0.78,0.99821
"30",0.79,0.99861
"31",0.8,0.99924
"32",0.81,0.99954
"33",0.82,0.99974
"34",0.83,0.99991
"35",0.84,0.99988
"36",0.85,0.99993
"37",0.86,0.99998
"38",0.87,0.99999
"39",0.88,1
"40",0.89,1
"41",0.9,1
"42",0.91,1
"43",0.92,1
"44",0.93,1
"45",0.94,1
"46",0.95,1
"47",0.96,1
"48",0.97,1
"49",0.98,1
"50",0.99,1
